,Country,Social TF Programs,Wealth-ranking,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
316,Poland,0,2,2009,5.772027493,10.04606915,0.916798174,66.91999817,0.820649087,0.071381621,0.897762001,0.649224102,0.245965257,0.284511507,European Union,5.5,6.3,135.045,10.17,98,95,26.1,96,99,0.08,10437,38.15,2.1,2.3,12.1,1,0,75.7
88,Colombia,1,2,2011,6.463952541,9.431926727,0.904147327,67.41999817,0.810907423,-0.074059807,0.847268522,0.784792185,0.285958856,0.445631891,South America,15.2,17.7,145.9445,4.3,85,76,25.8,85,85,0.22,5468,45.66,2.2,2,7.5,0,1,75.7
120,Ecuador,1,2,2013,6.019206047,9.377429008,0.801250935,66.81999969,0.78679812,-0.191786841,0.645848632,0.823896587,0.266504049,0.6208269,South America,14.3,16.6,127.577,3.78,87,70,26.9,87,87,0.16,6084,15.71,1.3,1.1,8.3,0,1,75.7
46,Bosnia and Herzegovina,0,2,2009,4.963477135,9.283216476,0.735232174,67,0.257533818,-0.025712101,0.958739877,0.506855667,0.390204102,,Rest of Europe,6.6,7.5,104.296,4.69,90,88,25.3,90,90,0.08,4028,3.74,2.7,2.7,7.7,0,1,75.8
15,Argentina,1,2,2013,6.582260132,10.1033268,0.909874201,66.66000366,0.737250388,-0.132035166,0.822900295,0.766156793,0.25420472,0.433749259,South America,11.3,12.7,119.885,8.27,94,83,27.4,90,94,0.14,14072,42.2,1,0.9,9.8,0,1,75.8
359,Sri Lanka,1,2,2012,4.224593163,9.279156685,0.824357271,65.16000366,0.800397217,0.159445927,0.822879076,0.761135697,0.196870834,0.777017355,Asia,8.9,10.4,115.4885,2.89,99,99,22.7,99,99,0.01,3463,20.43,15.3,15.2,10.9,0,1,75.8
26,Bahrain,0,1,2009,5.700523376,10.70905685,0.904143453,64.76000214,0.895931423,0.03495907,0.506103933,0.707422376,0.421889484,,Middle East,7.6,8.9,72.0995,1.95,98,99,25,97,98,0.05,21057,1.19,6,5.9,8.4,0,1,75.9
89,Colombia,1,2,2012,6.374879837,9.461303711,0.914372623,67.63999939,0.827868104,-0.010024542,0.868371546,0.828550577,0.293702394,0.357382864,South America,14.7,17.1,144.2095,4.37,92,80,25.9,91,91,0.21,5631,46.08,2.1,1.9,7.6,0,1,75.9
47,Bosnia and Herzegovina,0,2,2010,4.66851759,9.300024033,0.772753716,67,0.364966899,-0.128100336,0.933030069,0.46450606,0.409213185,,Rest of Europe,6.3,7.2,102.9815,4.57,89,91,25.4,90,89,0.08,4096,3.71,2.6,2.6,7.1,0,1,76
267,Montenegro,0,2,2010,5.455030441,9.727009773,0.804549336,66.19999695,0.552103698,-0.208038434,0.757207215,0.510351896,0.410302103,,Rest of Europe,5.7,6.7,114.563,9.94,90,97,26.1,93,94,0.03,5982,0.62,2,2,11.1,0,1,76
