,Country,after,treated,Wealth_ranking,Year,Life_Ladder,Log_GDP_per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
26,Bahrain,0,1,1,2009,5.700523376,10.70905685,0.904143453,64.76000214,0.895931423,0.03495907,0.506103933,0.707422376,0.421889484,,Middle East,7.6,8.9,72.0995,1.95,98,99,25,97,98,0.05,21057,1.19,6,5.9,8.4,0,1,75.9
27,Bahrain,0,1,1,2010,5.936869144,10.70548439,0.877115071,65,0.862002909,-0.003043235,0.714620173,0.641039014,0.422670722,,Middle East,7.3,8.5,71.212,1.96,99,98,25,99,99,0.05,20982,1.24,6,5.9,8.4,0,1,76.1
28,Bahrain,1,1,1,2011,4.82397604,10.69551754,0.90786773,65.23999786,0.869870365,-0.053820446,0.582522452,0.505992472,0.513719201,,Middle East,7,8.2,70.3255,1.66,99,98,25,99,99,0.05,20774,1.28,6.1,6,8.6,0,1,76.2
289,Denmark,1,0,1,2008,7.970891953,10.87771797,0.953911722,68.95999908,0.969788373,0.2696127,0.247505307,0.759462297,0.163090929,0.665933907,European Union,3.7,4.4,87.314,10.7,88,87,25.2,88,88,0.04,53345,5.49,1.1,0.9,12.9,1,0,78.4
106,Denmark,0,0,1,2009,7.683358669,10.82205677,0.93889159,69.18000031,0.949335575,0.261128634,0.205769762,0.781798959,0.233584777,0.626578152,European Union,3.6,4.2,85.8135,10.08,88,85,25.3,89,89,0.04,50457,5.52,1.1,0.9,12.7,1,0,78.6
107,Denmark,0,0,1,2010,7.770515442,10.83615208,0.974977076,69.40000153,0.943630815,0.240007415,0.174896091,0.796208739,0.154562935,0.586689413,European Union,3.5,4.1,83.927,10.27,88,85,25.3,90,90,0.04,51173,5.55,1.1,0.9,12.7,1,0,79.1
108,Denmark,0,0,1,2011,7.78823185,10.84531403,0.961736143,69.62000275,0.934760153,0.295087457,0.220043078,0.777891874,0.174883381,0.471823335,European Union,3.4,4.1,78.101,10.45,88,86,25.3,91,91,0.04,51644,5.57,1.1,0.9,12.7,1,0,79.8
483,Ireland,0,0,1,2008,7.568029881,10.92795944,0.982521713,69.86000061,0.894108713,0.319300771,0.486994654,0.745194614,0.147759244,0.513727903,European Union,3.8,4.4,73.6315,12.18,95,86,27,93,93,0.07,48314,4.49,0.3,0.2,12,1,0,80.1
181,Ireland,0,0,1,2009,7.045911312,10.86545181,0.958702445,69.98000336,0.834729671,0.312667906,0.579600155,0.745341063,0.232698768,0.29256928,European Union,3.6,4.3,73.9955,10.93,95,86,27.1,94,94,0.07,45386,4.54,0.3,0.2,12.1,1,0,80.2
182,Ireland,0,0,1,2010,7.257389545,10.87740135,0.972885907,70.09999847,0.85602957,0.345456243,0.618024111,0.762811244,0.200655416,0.332579374,European Union,3.5,4.2,68.771,11.57,95,86,27.1,94,94,0.07,45932,4.56,0.3,0.2,12.2,1,0,80.7
183,Ireland,0,0,1,2011,7.006904125,10.8836689,0.977377594,70.22000122,0.952034354,0.380387187,0.589912653,0.786443889,0.19030945,0.529104173,European Union,3.5,4.1,68.994,11.49,95,86,27.2,95,95,0.07,46221,4.58,0.3,0.2,10.9,1,0,80.7
517,Japan,0,1,1,2008,5.91067934,10.56569099,0.887304068,72.76000214,0.77207005,-0.138788044,0.816475332,0.704691589,0.190774098,0.221201479,Asia,2.5,3.4,64.0215,7.06,83,78,22.6,98,98,0.17,33558,128.06,1.8,1.5,11.4,1,0,82.6
196,Japan,0,1,1,2009,5.844999313,10.50719833,0.888356864,72.87999725,0.729888022,-0.213364705,0.740108192,0.712758899,0.16947788,0.251777887,Asia,2.4,3.3,63.037,6.98,83,92,22.7,99,97,0.17,31651,128.05,1.8,1.6,11.4,1,0,82.9
197,Japan,0,1,1,2010,6.056752682,10.54718113,0.901924908,73,0.771722376,-0.143666402,0.769557059,0.77921927,0.187703073,0.27027148,Asia,2.4,3.2,62.1335,8.28,83,97,22.7,98,97,0.17,32942,128.07,1.9,1.6,11.5,1,0,82.8
198,Japan,0,1,1,2011,6.262793541,10.54927063,0.916703701,73.12000275,0.814396441,-0.055324662,0.733798981,0.713564217,0.181055471,0.231063634,Asia,2.3,3.2,64.2585,8.41,83,92,22.7,96,97,0.17,33011,127.83,1.9,1.6,11.8,1,0,82.6
216,Kuwait,0,1,1,2009,6.585246086,11.06485939,0.926411927,69,0.818781018,0.003958656,0.675121784,0.694339871,0.251759946,,Middle East,9.2,10.7,71.642,0.1,99,94,29,99,99,0.13,34800,2.82,3.3,3.2,6.6,0,1,74.2
